record_id,source,item_label,category,material_family,material_keywords,weight_kg,weight_kg_filled,weight_imputed,width_cm,depth_cm,height_cm,volume_l,size_bin,weight_bin,missing_dimensions,missing_weight,missing_materials,url,product_url
s39562363,IKEA,desk_desk_chairs_desks_computer_desks_table_desk_systems_mittzon_system_mittzon_room_desk_dividers,desk desk chairs desks computer desks table desk systems mittzon system mittzon room desk dividers,mixed,"steel,epoxy,polyester,powder,coating",12.75500704,12.75500704,False,85.09,49.85,205.1,869.98015615,extra_large,medium,False,False,False,https://www.ikea.com/us/en/images/products/mittzon-frame-w-castors-disp-shlf-cable-box-white__1285613_pe933338_s5.jpg,https://www.ikea.com/us/en/p/mittzon-frame-w-castors-disp-shlf-cable-box-white-s39562363/
s29536421,IKEA,desk_desk_chairs_desks_computer_desks_table_desk_systems_mittzon_system_mittzon_room_desk_dividers,desk desk chairs desks computer desks table desk systems mittzon system mittzon room desk dividers,mixed,"steel,epoxy,polyester,powder,coating",12.75500704,12.75500704,False,85.09,49.85,205.1,869.98015615,extra_large,medium,False,False,False,https://www.ikea.com/us/en/images/products/mittzon-frame-w-cstrs-clths-rail-disp-shlf-white__1224947_pe915097_s5.jpg,https://www.ikea.com/us/en/p/mittzon-frame-w-cstrs-clths-rail-disp-shlf-white-s29536421/
s19537789,IKEA,desk_desk_chairs_desks_computer_desks_table_desk_systems_trotten_system_trotten_office_desks_tables,desk desk chairs desks computer desks table desk systems trotten system trotten office desks tables,mixed,"particleboard,melamine,foil,plastic,edging,steel,epoxy,polyester,powder,coating,steel,steel,epoxy,polyester,powder,coating,polypropylene,steel,epoxy,polyester,powder,coating,layer,glued,wood,veneer,polyurethane,foam,1,5,lb,cu,ft,polyurethane,foam,2,2,lb,cu,ft,reinforced,polypropylene,100,polyester,aluminum,epoxy,polyester,powder,coating,52,polyester,30,polyurethane,18,cotton,polyester,wadding,100,polyester,min,90,recycled,100,polyurethane,75,polyester,25,cotton",18.45665848,18.45665848,False,85.09,168.91,2.54,36.506281826,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/trotten-matchspel-desk-and-chair-white-light-gray__1246247_pe922058_s5.jpg,https://www.ikea.com/us/en/p/trotten-matchspel-desk-and-chair-white-light-gray-s19537789/
40477340,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,plastic,edging,particleboard,paper,foil,fiberboard,paint,paper,foil",39.43528848,39.43528848,False,80.01,27.94,201.93,451.4103552420001,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-black-oak-effect__1097080_pe864708_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-black-oak-effect-40477340/
90301225,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,plastic,edging,fiberboard,acrylic,paint,fiberboard,particleboard,particleboard,paper,foil,plastic,edging,particleboard,plastic,foil,particleboard,paper,foil,particleboard",24.607366,24.607366,False,60.01,34.92,189.87,397.881926604,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/brimnes-bookcase-white__0644268_pe702543_s5.jpg,https://www.ikea.com/us/en/p/brimnes-bookcase-white-90301225/
60413502,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"solid,pine,adhesive,stain,clear,acrylic,lacquer,fiberboard",18.483874,18.483874,False,89.85,37.15,196.85,657.071028375,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/hemnes-bookcase-white-stain-light-brown__0980092_pe814822_s5.jpg,https://www.ikea.com/us/en/p/hemnes-bookcase-white-stain-light-brown-60413502/
70477334,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,plastic,edging,particleboard,paper,foil,fiberboard,paint,paper,foil",26.13597104,26.13597104,False,40.01,27.94,201.93,225.73338724200002,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-black-oak-effect__1097083_pe864716_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-black-oak-effect-70477334/
00477337,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,plastic,edging,particleboard,paper,foil,fiberboard,paint,paper,foil",22.70681552,22.70681552,False,80.01,27.94,106.05,237.07259037000003,large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-black-oak-effect__1097107_pe864733_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-black-oak-effect-00477337/
20522046,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,paper,edging,particleboard,paper,foil,fiberboard,paint,paper,foil",38.30130848,38.30130848,False,80.01,27.94,201.93,451.4103552420001,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-white__0625599_pe692385_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-white-20522046/
s49581511,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,paper,edging,particleboard,paper,foil,fiberboard,paint,paper,foil,steel,galvanized",25.287754,25.287754,False,38.73,27.94,201.93,218.51172426600002,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-combination-crn-solution-white__0979439_pe814538_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-combination-crn-solution-white-s49581511/
